time(s)	cellId	rnti	lcid	packetSize
0.827	3	3	3	2684
0.827	5	4	3	6485
0.8275	3	2	3	3241
0.8275	3	3	3	2684
0.8275	5	4	3	6485
0.828	3	2	3	3241
0.828	3	3	3	2684
0.828	5	4	3	6485
0.8285	3	2	3	3241
0.8285	3	3	3	2684
0.8285	5	4	3	5946
0.829	3	2	3	3241
0.829	3	3	3	2684
0.829	5	4	3	6485
0.8295	3	2	3	2701
0.8295	3	3	3	2684
0.8295	5	4	3	6485
0.83	3	2	3	3241
0.83	3	3	3	2684
0.83	5	4	3	5946
0.8305	3	2	3	3241
0.8305	3	3	3	2684
0.8305	5	4	3	5946
0.831	3	2	3	3241
0.831	3	3	3	2684
0.831	5	4	3	6485
0.8315	3	2	3	3241
0.8315	3	3	3	2684
0.8315	5	4	3	6485
0.832	3	2	3	3241
0.832	3	3	3	2684
0.832	5	4	3	6485
0.8325	3	2	3	3241
0.8325	3	3	3	2235
0.8325	5	4	3	6485
0.833	3	2	3	2701
0.833	3	3	3	2684
0.833	5	4	3	6485
0.8335	3	2	3	3241
0.8335	3	3	3	2684
0.8335	5	4	3	6485
0.834	3	2	3	3241
0.834	3	3	3	2684
0.834	5	4	3	6485
0.8345	3	2	3	3241
0.8345	3	3	3	2684
0.8345	5	4	3	6485
0.835	3	2	3	3241
0.835	3	3	3	2684
0.835	5	4	3	6485
0.8355	3	2	3	3241
0.8355	3	3	3	2684
0.8355	5	4	3	6485
0.836	3	2	3	3241
0.836	3	3	3	2684
0.836	5	4	3	6485
0.8365	3	2	3	3241
0.8365	3	3	3	2684
0.8365	5	4	3	6485
0.837	3	2	3	3241
0.837	3	3	3	2235
0.837	5	4	3	6485
0.8375	3	2	3	3241
0.8375	3	3	3	2684
0.8375	5	4	3	6485
0.838	3	2	3	2701
0.838	3	3	3	2684
0.838	5	4	3	6485
0.8385	3	2	3	3241
0.8385	3	3	3	2684
0.8385	5	4	3	6485
0.839	3	2	3	1109
0.839	3	3	3	4028
0.839	5	4	3	6485
0.8395	3	3	3	5368
0.8395	5	4	3	6485
0.84	3	3	3	5368
0.84	5	4	3	6485
0.8405	3	3	3	4923
0.8405	5	4	3	6485
0.841	3	3	3	5368
0.841	5	4	3	6485
0.8415	3	3	3	5368
0.8415	5	4	3	6485
0.842	3	3	3	5368
0.842	5	4	3	6485
0.8425	3	3	3	5368
0.8425	5	4	3	6485
0.843	3	3	3	5368
0.843	5	4	3	6485
0.8435	3	3	3	5368
0.8435	5	4	3	6485
0.844	3	3	3	5368
0.844	5	4	3	6485
0.8445	3	3	3	5368
0.8445	5	4	3	5946
0.845	3	3	3	5368
0.845	5	4	3	6485
0.8455	3	3	3	4923
0.8455	5	4	3	5946
0.846	3	3	3	5368
0.846	5	4	3	6485
0.8465	3	3	3	5368
0.8465	5	4	3	6485
0.847	3	3	3	5368
0.847	5	4	3	5946
0.8475	3	3	3	5368
0.8475	5	4	3	6485
0.848	3	3	3	5368
0.848	5	4	3	6485
0.8485	3	3	3	5368
0.8485	5	4	3	6485
0.849	3	3	3	5368
0.849	5	4	3	6485
0.8495	3	3	3	5368
0.8495	5	4	3	6485
0.85	3	3	3	5368
0.85	5	4	3	6485
0.8505	3	3	3	5368
0.8505	5	4	3	6485
0.851	3	3	3	5368
0.851	5	4	3	6485
