Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0485	1	0	27	-107.861
0.0485	1	0	30	-110.066
0.05	1	0	3	-114.19
0.05	1	0	6	-108.316
0.05	1	0	9	-109.928
0.05	1	0	12	-110.333
0.05	1	0	15	-112.144
0.05	1	0	18	-111.712
0.05	1	0	21	-113.687
0.05	1	0	24	-109.714
0.05	1	0	27	-107.861
0.05	1	0	30	-110.066
0.05	3	0	4	-113.828
0.05	3	0	7	-96.2002
0.05	3	0	10	-106.523
0.05	3	0	13	-112.759
0.05	3	0	16	-107.008
0.05	3	0	19	-110.182
0.05	3	0	22	-114.926
0.05	3	0	25	-115.525
0.05	3	0	28	-107.346
0.05	3	0	31	-100.317
0.05	5	0	5	-93.4123
0.05	5	0	8	-92.0396
0.05	5	0	11	-102.569
0.05	5	0	14	-102.507
0.05	5	0	17	-110.871
0.05	5	0	20	-97.6195
0.05	5	0	23	-111.895
0.05	5	0	26	-85.9646
0.05	5	0	29	-107.965
0.05	5	0	32	-115.839
0.052	1	0	3	-114.19
0.052	1	0	6	-108.316
0.052	1	0	9	-109.928
0.052	1	0	12	-110.333
0.052	1	0	15	-112.144
0.052	1	0	18	-111.712
0.052	1	0	21	-113.687
0.052	1	0	24	-109.714
0.052	1	0	27	-107.861
0.052	1	0	30	-110.066
0.0525	1	0	3	-114.19
0.0525	1	0	6	-108.316
0.0525	1	0	9	-109.928
0.0525	1	0	12	-110.333
0.0525	1	0	15	-112.144
0.0525	1	0	18	-111.712
0.0525	1	0	21	-113.687
0.0525	1	0	24	-109.714
0.0525	1	0	27	-107.861
0.0525	1	0	30	-110.066
0.053	5	0	5	-93.4123
0.053	5	0	8	-92.0396
0.053	5	0	11	-102.569
0.053	5	0	14	-102.507
0.053	5	0	17	-110.871
0.053	5	0	20	-97.6195
0.053	5	0	23	-111.895
0.053	5	0	26	-85.9646
0.053	5	0	29	-107.965
0.053	5	0	32	-115.839
0.0535	5	0	5	-93.4123
0.0535	5	0	8	-92.0396
0.0535	5	0	11	-102.569
0.0535	5	0	14	-102.507
0.0535	5	0	17	-110.871
0.0535	5	0	20	-97.6195
0.0535	5	0	23	-111.895
0.0535	5	0	26	-85.9646
0.0535	5	0	29	-107.965
0.0535	5	0	32	-115.839
0.0545	1	0	3	-114.19
0.0545	1	0	6	-108.316
0.0545	1	0	9	-109.928
0.0545	1	0	12	-110.333
0.0545	1	0	15	-112.144
0.0545	1	0	18	-111.712
0.0545	1	0	21	-113.687
0.0545	1	0	24	-109.714
0.0545	1	0	27	-107.861
0.0545	1	0	30	-110.066
0.0545	3	0	4	-113.828
0.0545	3	0	7	-96.2002
0.0545	3	0	10	-106.523
0.0545	3	0	13	-112.759
0.0545	3	0	16	-107.008
0.0545	3	0	19	-110.182
0.0545	3	0	22	-114.926
0.0545	3	0	25	-115.525
0.0545	3	0	28	-107.346
0.0545	3	0	31	-100.317
0.055	1	0	3	-114.19
0.055	1	0	6	-108.316
0.055	1	0	9	-109.928
0.055	1	0	12	-110.333
0.055	1	0	15	-112.144
0.055	1	0	18	-111.712
0.055	1	0	21	-113.687
0.055	1	0	24	-109.714
0.055	1	0	27	-107.861
0.055	1	0	30	-110.066
0.055	3	0	4	-113.828
0.055	3	0	7	-96.2002
0.055	3	0	10	-106.523
0.055	3	0	13	-112.759
0.055	3	0	16	-107.008
0.055	3	0	19	-110.182
0.055	3	0	22	-114.926
0.055	3	0	25	-115.525
0.055	3	0	28	-107.346
0.055	3	0	31	-100.317
0.055	5	0	5	-93.4123
0.055	5	0	8	-92.0396
0.055	5	0	11	-102.569
0.055	5	0	14	-102.507
0.055	5	0	17	-110.871
0.055	5	0	20	-97.6195
0.055	5	0	23	-111.895
0.055	5	0	26	-85.9646
0.055	5	0	29	-107.965
0.055	5	0	32	-115.839
0.0585	3	0	4	-113.828
0.0585	3	0	7	-96.2002
0.0585	3	0	10	-106.523
0.0585	3	0	13	-112.759
0.0585	3	0	16	-107.008
0.0585	3	0	19	-110.182
0.0585	3	0	22	-114.926
0.0585	3	0	25	-115.525
0.0585	3	0	28	-107.346
0.0585	3	0	31	-100.317
0.06	1	0	3	-114.19
