time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.617564	5	3	3	6485	0.00156428
0.618064	5	3	3	6485	0.00156428
0.618564	5	3	3	6485	0.00156428
0.619064	5	3	3	6485	0.00156428
0.619564	5	3	3	6485	0.00156428
0.620064	5	3	3	6485	0.00156428
0.620564	5	3	3	6485	0.00156428
0.621064	5	3	3	6485	0.00156428
0.621564	5	3	3	6485	0.00156428
0.622064	5	3	3	6485	0.00156428
0.622564	5	3	3	6485	0.00156428
0.623064	5	3	3	6485	0.00156428
0.623564	5	3	3	6485	0.00156428
0.624064	5	3	3	6485	0.00156428
0.624564	5	3	3	6485	0.00156428
0.625029	5	3	3	5946	0.00152857
0.625564	5	3	3	6485	0.00156428
0.626064	5	3	3	6485	0.00156428
0.626564	5	3	3	6485	0.00156428
0.627064	5	3	3	6485	0.00156428
0.627564	5	3	3	6485	0.00156428
0.628064	5	3	3	6485	0.00156428
0.628564	5	3	3	6485	0.00156428
0.629064	5	3	3	6485	0.00156428
0.629564	5	3	3	6485	0.00156428
0.630029	5	3	3	5946	0.00152857
0.630564	5	3	3	6485	0.00156428
0.631064	5	3	3	6485	0.00156428
0.631529	5	3	3	5946	0.00152857
0.632029	5	3	3	5946	0.00152857
0.632564	5	3	3	6485	0.00156428
0.633064	5	3	3	6485	0.00156428
0.633564	5	3	3	6485	0.00156428
0.634064	5	3	3	6485	0.00156428
0.634564	5	3	3	6485	0.00156428
0.634921	5	3	3	4024	0.00142143
0.665064	3	1	3	6485	0.00156428
0.665529	3	1	3	5946	0.00152857
0.666064	3	1	3	6485	0.00156428
0.666564	3	1	3	6485	0.00156428
0.667064	3	1	3	6485	0.00156428
0.667564	3	1	3	6485	0.00156428
0.668064	3	1	3	6485	0.00156428
0.668564	3	1	3	6485	0.00156428
0.669064	3	1	3	6485	0.00156428
0.669564	3	1	3	6485	0.00156428
0.670064	3	1	3	6485	0.00156428
0.670564	3	1	3	6485	0.00156428
0.671029	3	1	3	5946	0.00152857
0.671564	3	1	3	6485	0.00156428
0.672064	3	1	3	6485	0.00156428
0.672564	3	1	3	6485	0.00156428
0.673064	3	1	3	6485	0.00156428
0.673564	3	1	3	6485	0.00156428
0.674029	3	1	3	5946	0.00152857
0.674529	3	1	3	5946	0.00152857
0.675064	3	1	3	6485	0.00156428
0.675564	3	1	3	6485	0.00156428
0.676064	3	1	3	6485	0.00156428
0.676564	3	1	3	6485	0.00156428
0.677064	3	1	3	6485	0.00156428
0.677564	3	1	3	6485	0.00156428
0.678064	3	1	3	6485	0.00156428
0.678529	3	1	3	5946	0.00152857
0.679064	3	1	3	6485	0.00156428
0.679529	3	1	3	5946	0.00152857
0.680064	3	1	3	6485	0.00156428
0.680564	3	1	3	6485	0.00156428
